input,response
개인정보 알림톡 ex) 개인정보 오류 관련해서 알림톡 받았는데 확인해주세요,"(화주가 개인정보를 입력한 경우)
입력하신 개인정보로 수입신고 진행하겠습니다."
수하인 변경 문의 ex) 이름을 변경하고 싶어요.,"(특송사 별 안내방법 상이)
LOTOS : 판매처 문의 안내
ACE : 특송사 연락처 안내"
화물 진행 정보 문의 ex) 물품이 국내에 도착했다고 하는데 진행 상황을 알고 싶어요. ,없음
연락처 변경 요청 ex) 연락처를 변경하고 싶어요. ,특송사 연락처 안내
세금 납부 ex) 세금 납부했는데 주문 물건 언제쯤 받아볼 수 있을까요?,"화물의 창고 반입여부에 따라 출고일정은 달라질 수 있습니다.
창고 반입 후 당일 또는 익일 중으로 택배사에 인계될 예정이며, 정확한 일정은 특송사로 문의 부탁드립니다."
계좌 입금 확인 요청 ex) 납부한 세액이 입금되었는지 확인하고 싶어요.,"화물의 현재 상태가 수리 또는 대기인 경우 납부완료로 안내,
수리 또는 대기가 아닌 경우 경리프로그램의 입금내역을 확인 후 안내"
세액 안내 요청 (문자 발송) ex) 세액 문자가 오지 않아요. 문자를 다시 보내주세요.,수하인의 연락처 확인 후 경리프로그램에서 세금안내문자 재발송
세액 안내 연락처 변경 요청 ex) 세액 안내를 다른 연락처로 받고 싶어요.,경리프로그램에서 연락처 변경하여 세금안내문자 재발송
세금 확인 요청 ex)예상 세액과 청구받은 세액이 달라요. 어떻게 계산된 건지 알고 싶어요.,"화주의 구매금액 확인 후 신고금액과 동일한 경우 세율 및 계산방법 안내
구매금액과 신고금액이 상이한 경우 메일로 가격자료 요청 후 정정진행"
"자금청구서 및 필증,계산서,영수증 요청  ex) 통관 관련한 서류를 받고 싶어요.",메일주소 확인 후 발송
가격 및 품명 정정 요청 문의 ex) 실제 구매한 가격과 신고된 가격이 달라요.,메일로 가격자료 요청 후 정정진행
FTA 협정 적용 요청 문의 (원산지 증명서 등) ex) 원산지증명서를 내라는 문자를 받았어요.,발송지별 기준금액 및 필요자료 확인 후 현품확인 또는 원산지증명서 요청 후 정정진행
관부가세 문의 ex) 관부가세가 무엇이며 왜 세금이 발생했는지 궁금해요.,"신고금액이 $150을 초과한 경우 과세로 진행되는 것을 안내,
$150 미만인데 세금이 나온 경우 신고품목 확인 후 주세 또는 자가소비기준초과로 과세된 것을 안내"
골동품 세금 ex) 골동품인데 왜 세금이 발생했는지 궁금해요.,통관자료상 골돌품 제품이 아닌 다른 제품으로 기재되어 신고 된 경우로 골동품 증빙이 가능한 자료 당사 메일로 첨부 후 회신 부탁 드립니다. ejapan@wscustoms.co.kr
주류 세금 ex) 기타세가 뭔가요?,세금 문자에 받아보신 기타세의 경우는 주세와 교육세가 포함된 금액입니다. 참고 부탁 드립니다.
주류 관련 ex) 술이 아니라 빈병인데 세금이 너무 많이나왔어요.,술이 함류 되지 않은 빈병이라는걸 증빙 가능한 제품 이미지가 들어간 구매내역서 당사 메일로 자료 첨부 후 회신 부탁 드립니다. ejapan@wscustoms.co.kr
배송지 변경 및 배송 문의 ex) 배송지를 변경하고 싶어요.,특송사 연락처 안내
택배사 문의 및 출고 예상일 문의 (반출/배송 등) ex) 물품이 언제 도착하는지 궁금해요.,특송사 연락처 안내
방물출고 가능한가요?,특송사 연락처 안내
퀵 배송 가능한가요?,특송사 연락처 안내
합산 과세 안내 요청 ex) 제 물건이 합산되었다는 문자를 받았어요. 설명을 듣고 싶어요.,없음
건기식 및 의약품 관련 수량초과건 문의 ex) 수량초과가 되어 통관이 지연되고 있다는 문자를 받았어요. 어떤 서류가 필요한가요? ,분할위임장과 폐기동의서 등 필요서류 안내
"통관 보류 물품 현황 안내 (통관불가 물품, 금지성분 등) ex) 제 물품이 세관에서 통관보류 되었다는 안내를 받았어요.  ","특이사항 확인 후 통관불가물품 및 금지성분명, 통관방법 안내"
가격자료 제출 관련 ex) 가격자료 관련하여 문자를 받았어요.  ,세관 심사 결과 세관측으로 부터 가격자료 제출 요청이 있습니다. 당사 메일로 자료 첨부 후 회신 부탁 드립니다 express@wscustoms.co.kr
